"date","Duration","adjusted","log_return","Bond_Index"
2023-06-21,"2-Year",102.015625,3.82914361250438e-05,"ZT=F"
2023-06-22,"2-Year",101.8359375,-0.00176292537897669,"ZT=F"
2023-06-23,"2-Year",101.92578125,0.000881851177674466,"ZT=F"
2023-06-26,"2-Year",101.94921875,0.00022992029531095,"ZT=F"
2023-06-27,"2-Year",101.81640625,-0.00130358119832643,"ZT=F"
2023-06-28,"2-Year",101.93359375,0.00115030687530734,"ZT=F"
2023-06-29,"2-Year",101.65625,-0.0027245359243262,"ZT=F"
2023-06-30,"2-Year",101.6484375,-7.68550897661999e-05,"ZT=F"
2023-07-03,"2-Year",101.56640625,-0.00080733526096658,"ZT=F"
2023-07-05,"2-Year",101.52734375,-0.000384674570061288,"ZT=F"
2023-07-06,"2-Year",101.40625,-0.00119343241436711,"ZT=F"
2023-07-07,"2-Year",101.5390625,0.00130885032350739,"ZT=F"
2023-07-10,"2-Year",101.66796875,0.00126871857236606,"ZT=F"
2023-07-11,"2-Year",101.61328125,-0.000538047668629645,"ZT=F"
2023-07-12,"2-Year",101.91015625,0.00291735648930156,"ZT=F"
2023-07-13,"2-Year",102.171875,0.00256484014659474,"ZT=F"
2023-07-14,"2-Year",101.90234375,-0.00264150374675507,"ZT=F"
2023-07-17,"2-Year",101.93359375,0.000306619143102104,"ZT=F"
2023-07-18,"2-Year",101.88671875,-0.000459963977598431,"ZT=F"
2023-07-19,"2-Year",101.88671875,0,"ZT=F"
2023-07-20,"2-Year",101.7265625,-0.00157314181124154,"ZT=F"
2023-07-21,"2-Year",101.71484375,-0.000115205161318592,"ZT=F"
2023-07-24,"2-Year",101.6328125,-0.000806807965850606,"ZT=F"
2023-07-25,"2-Year",101.52734375,-0.00103828192911091,"ZT=F"
2023-07-26,"2-Year",101.64453125,0.00115358007101697,"ZT=F"
2023-07-27,"2-Year",101.41796875,-0.00223145675850628,"ZT=F"
2023-07-28,"2-Year",101.484375,0.000654563679686365,"ZT=F"
2023-07-31,"2-Year",101.515625,0.000307881775831124,"ZT=F"
2023-08-01,"2-Year",101.44140625,-0.00073137405342636,"ZT=F"
2023-08-02,"2-Year",101.49609375,0.000538959052159367,"ZT=F"
2023-08-03,"2-Year",101.48828125,-7.69763682929724e-05,"ZT=F"
2023-08-04,"2-Year",101.6640625,0.0017305367058411,"ZT=F"
2023-08-07,"2-Year",101.71484375,0.000499375790652397,"ZT=F"
2023-08-08,"2-Year",101.71875,3.84031951505754e-05,"ZT=F"
2023-08-09,"2-Year",101.6484375,-0.000691483259084267,"ZT=F"
2023-08-10,"2-Year",101.609375,-0.000384364074378778,"ZT=F"
2023-08-11,"2-Year",101.4765625,-0.00130794402181319,"ZT=F"
2023-08-14,"2-Year",101.3359375,-0.00138674906661087,"ZT=F"
2023-08-15,"2-Year",101.35546875,0.000192719074003109,"ZT=F"
2023-08-16,"2-Year",101.30859375,-0.000462588189121007,"ZT=F"
2023-08-17,"2-Year",101.3515625,0.000424047345457206,"ZT=F"
2023-08-18,"2-Year",101.38671875,0.000346814130371781,"ZT=F"
2023-08-21,"2-Year",101.29296875,-0.000925105103944793,"ZT=F"
2023-08-22,"2-Year",101.20703125,-0.000848765483053212,"ZT=F"
2023-08-23,"2-Year",101.3828125,0.0017353416228443,"ZT=F"
2023-08-24,"2-Year",101.24609375,-0.00134944982211528,"ZT=F"
2023-08-25,"2-Year",101.1796875,-0.000656104691528,"ZT=F"
2023-08-28,"2-Year",101.1953125,0.000154416306668741,"ZT=F"
2023-08-29,"2-Year",101.4140625,0.00215932836273844,"ZT=F"
2023-08-30,"2-Year",101.44140625,0.000269588494055413,"ZT=F"
2023-08-31,"2-Year",101.51171875,0.000692894014941553,"ZT=F"
2023-09-01,"2-Year",101.50390625,-7.69645193946228e-05,"ZT=F"
2023-09-05,"2-Year",101.34375,-0.00157907945538829,"ZT=F"
2023-09-06,"2-Year",101.25390625,-0.000886918018227893,"ZT=F"
2023-09-07,"2-Year",101.43359375,0.00177305010988581,"ZT=F"
2023-09-08,"2-Year",101.3984375,-0.000346653831107426,"ZT=F"
2023-09-11,"2-Year",101.40234375,3.85230271442386e-05,"ZT=F"
2023-09-12,"2-Year",101.39453125,-7.70475383692578e-05,"ZT=F"
2023-09-13,"2-Year",101.4296875,0.000346667183719579,"ZT=F"
2023-09-14,"2-Year",101.42578125,-3.85126417793864e-05,"ZT=F"
2023-09-15,"2-Year",101.41015625,-0.000154065401067422,"ZT=F"
2023-09-18,"2-Year",101.390625,-0.000192615136292909,"ZT=F"
2023-09-19,"2-Year",101.3125,-0.000770831765601786,"ZT=F"
2023-09-20,"2-Year",101.3125,0,"ZT=F"
2023-09-21,"2-Year",101.2578125,-0.000539935992136947,"ZT=F"
2023-09-22,"2-Year",101.30078125,0.000424259962009312,"ZT=F"
2023-09-25,"2-Year",101.37890625,0.000770920903154336,"ZT=F"
2023-09-26,"2-Year",101.453125,0.000731824779893324,"ZT=F"
2023-09-27,"2-Year",101.375,-0.000770356713237909,"ZT=F"
2023-09-28,"2-Year",101.4453125,0.000693347741654742,"ZT=F"
2023-09-29,"2-Year",101.484375,0.000384985567796299,"ZT=F"
2023-10-02,"2-Year",101.22265625,-0.00258223796000997,"ZT=F"
2023-10-03,"2-Year",101.15234375,-0.000694873406588742,"ZT=F"
2023-10-04,"2-Year",101.34375,0.00189046912916204,"ZT=F"
2023-10-05,"2-Year",101.390625,0.000462427753905135,"ZT=F"
2023-10-06,"2-Year",101.27734375,-0.00111790000655747,"ZT=F"
2023-10-09,"2-Year",101.54296875,0.00261931508331443,"ZT=F"
2023-10-10,"2-Year",101.46875,-0.000731177035134259,"ZT=F"
2023-10-11,"2-Year",101.421875,-0.000462071629322676,"ZT=F"
2023-10-12,"2-Year",101.30078125,-0.00119467420802944,"ZT=F"
2023-10-13,"2-Year",101.33203125,0.000308439683210234,"ZT=F"
2023-10-16,"2-Year",101.24609375,-0.000848438153479353,"ZT=F"
2023-10-17,"2-Year",101.0234375,-0.00220158061926362,"ZT=F"
2023-10-18,"2-Year",101.015625,-7.73365299484221e-05,"ZT=F"
2023-10-19,"2-Year",101.10546875,0.000889009199884557,"ZT=F"
2023-10-20,"2-Year",101.265625,0.00158279802187362,"ZT=F"
2023-10-23,"2-Year",101.3125,0.000462784427850676,"ZT=F"
2023-10-24,"2-Year",101.2265625,-0.000848601786701177,"ZT=F"
2023-10-25,"2-Year",101.140625,-0.000849322523355265,"ZT=F"
2023-10-26,"2-Year",101.28515625,0.00142799275534704,"ZT=F"
2023-10-27,"2-Year",101.33203125,0.000462695207792039,"ZT=F"
2023-10-30,"2-Year",101.27734375,-0.000539831894038249,"ZT=F"
2023-10-31,"2-Year",101.2109375,-0.000655902178345987,"ZT=F"
2023-11-01,"2-Year",101.40625,0.00192789726187072,"ZT=F"
2023-11-02,"2-Year",101.390625,-0.000154095076967268,"ZT=F"
2023-11-03,"2-Year",101.65625,0.00261639241212821,"ZT=F"
2023-11-06,"2-Year",101.44921875,-0.00203865826930393,"ZT=F"
2023-11-07,"2-Year",101.49609375,0.000461947115270907,"ZT=F"
2023-11-08,"2-Year",101.45703125,-0.000384941108764432,"ZT=F"
2023-11-09,"2-Year",101.30078125,-0.00154124794506032,"ZT=F"
2023-11-10,"2-Year",101.22265625,-0.000771515680749217,"ZT=F"
2023-11-13,"2-Year",101.25390625,0.000308677704345456,"ZT=F"
2023-11-14,"2-Year",101.66796875,0.00408100974497389,"ZT=F"
2023-11-15,"2-Year",101.4765625,-0.0018844347466705,"ZT=F"
2023-11-16,"2-Year",101.61328125,0.00134638707804092,"ZT=F"
2023-11-17,"2-Year",101.4921875,-0.00119242248959204,"ZT=F"
2023-11-20,"2-Year",101.484375,-7.69793310876697e-05,"ZT=F"
2023-11-21,"2-Year",101.5390625,0.000538730916943207,"ZT=F"
2023-11-22,"2-Year",101.48828125,-0.000500240510672181,"ZT=F"
2023-11-23,"2-Year",101.4453125,-0.000423475974067399,"ZT=F"
2023-11-24,"2-Year",101.3984375,-0.000462178409089814,"ZT=F"
2023-11-27,"2-Year",101.5546875,0.00153976472026021,"ZT=F"
2023-11-28,"2-Year",101.75,0.00192137783430249,"ZT=F"
2023-11-29,"2-Year",101.87890625,0.00126609006150917,"ZT=F"
2023-11-30,"2-Year",101.79296875,-0.000843881906620041,"ZT=F"
2023-12-01,"2-Year",102.07421875,0.00275915101274119,"ZT=F"
2023-12-04,"2-Year",101.9453125,-0.001263665947705,"ZT=F"
2023-12-05,"2-Year",102.1015625,0.00153151113478912,"ZT=F"
2023-12-06,"2-Year",102.03515625,-0.000650605660255987,"ZT=F"
2023-12-07,"2-Year",102.1171875,0.000803627848771856,"ZT=F"
2023-12-08,"2-Year",101.890625,-0.00222111683240421,"ZT=F"
2023-12-11,"2-Year",101.91796875,0.000268327744782071,"ZT=F"
2023-12-12,"2-Year",101.890625,-0.000268327744781984,"ZT=F"
2023-12-13,"2-Year",102.359375,0.0045899713386741,"ZT=F"
2023-12-14,"2-Year",102.55078125,0.00186819735217386,"ZT=F"
2023-12-15,"2-Year",102.390625,-0.00156294704455335,"ZT=F"
2023-12-18,"2-Year",102.51171875,0.00118196563183782,"ZT=F"
2023-12-19,"2-Year",102.54296875,0.000304796741034524,"ZT=F"
2023-12-20,"2-Year",102.6875,0.00140847774478939,"ZT=F"
2023-12-21,"2-Year",102.7265625,0.00038032936981495,"ZT=F"
2023-12-22,"2-Year",102.7890625,0.000608226278919386,"ZT=F"
2023-12-26,"2-Year",102.81640625,0.000265982712691819,"ZT=F"
2023-12-27,"2-Year",102.984375,0.00163234353413505,"ZT=F"
2023-12-28,"2-Year",102.74609375,-0.00231644207099994,"ZT=F"
2023-12-29,"2-Year",102.8046875,0.000570114608475229,"ZT=F"
2024-01-02,"2-Year",102.796875,-7.59965041973813e-05,"ZT=F"
2024-01-03,"2-Year",102.8125,0.000151987233365003,"ZT=F"
2024-01-04,"2-Year",102.67578125,-0.00133067218570506,"ZT=F"
2024-01-05,"2-Year",102.6484375,-0.000266347051780987,"ZT=F"
2024-01-08,"2-Year",102.7421875,0.000912894700142661,"ZT=F"
2024-01-09,"2-Year",102.68359375,-0.00057046151882643,"ZT=F"
2024-01-10,"2-Year",102.6875,3.80408939656454e-05,"ZT=F"
2024-01-11,"2-Year",102.90234375,0.00209002375105588,"ZT=F"
2024-01-12,"2-Year",103.1171875,0.00208566466079455,"ZT=F"
2024-01-16,"2-Year",102.9453125,-0.00166818358370231,"ZT=F"
2024-01-17,"2-Year",102.68359375,-0.00254554572211382,"ZT=F"
2024-01-18,"2-Year",102.68359375,0,"ZT=F"
2024-01-19,"2-Year",102.57421875,-0.00106573298253598,"ZT=F"
2024-01-22,"2-Year",102.6328125,0.000571069628905764,"ZT=F"
2024-01-23,"2-Year",102.61328125,-0.000190320309654696,"ZT=F"
